disease,Description,Cause,Prevention,Medication
Apple___Apple_scab,"Apple scab is a common fungal disease that affects the leaves, fruit, and young twigs of apple trees. It appears as dark, olive-green spots on the leaves and fruit, which can become black and scabby over time.",Apple scab is caused by the fungus Venturia inaequalis.,"Use resistant apple varieties, apply fungicides at the recommended times, and practice good sanitation by removing fallen leaves and infected fruit.","Use fungicides such as captan, myclobutanil, or thiophanate-methyl."
Apple___Black_rot,"Black rot is a serious fungal disease affecting apple trees. It causes fruit rot, leaf spots, and limb cankers, leading to significant crop losses.",Black rot is caused by the fungus Botryosphaeria obtusa.,"Remove infected fruit and twigs, apply fungicides, and prune trees to improve air circulation.","Use fungicides such as benomyl, thiophanate-methyl, or captan."
Apple___Cedar_apple_rust,Cedar apple rust is a fungal disease that requires two hosts: apple and cedar trees. It causes yellow-orange spots on apple leaves and galls on cedar trees.,Cedar apple rust is caused by the fungus Gymnosporangium juniperi-virginianae.,"Remove nearby cedar trees, use resistant apple varieties, and apply appropriate fungicides.","Use fungicides such as myclobutanil, propiconazole, or sulfur."
Apple___healthy,"Healthy apple trees show no signs of disease or pest damage. Leaves are green, and fruit develops normally.",,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Background_without_leaves,"This category includes images without any leaves, used as background or control samples.",,,
Blueberry___healthy,Healthy blueberry plants show no signs of disease or pest damage.,,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Cherry___Powdery_mildew,"Powdery mildew is a fungal disease that affects cherry trees, covering leaves with a white powdery substance.",Powdery mildew is caused by the fungus Podosphaera clandestina.,"Use resistant varieties, improve air circulation, and apply fungicides as needed.","Use fungicides such as sulfur, neem oil, or potassium bicarbonate."
Cherry___healthy,Healthy cherry trees show no signs of disease or pest damage.,,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Corn___Cercospora_leaf_spot Gray_leaf_spot,"Gray leaf spot is a fungal disease that affects corn, causing rectangular lesions on leaves.",Gray leaf spot is caused by the fungus Cercospora zeae-maydis.,"Use resistant varieties, rotate crops, and apply fungicides.","Use fungicides such as azoxystrobin, pyraclostrobin, or propiconazole."
Corn___Common_rust,"Common rust is a fungal disease that affects corn, causing rust-colored pustules on leaves.",Common rust is caused by the fungus Puccinia sorghi.,"Use resistant varieties, apply fungicides, and manage plant density.","Use fungicides such as mancozeb, chlorothalonil, or tebuconazole."
Corn___Northern_Leaf_Blight,"Northern leaf blight is a fungal disease that affects corn, causing long, elliptical, grayish-green or tan lesions on leaves.",Northern leaf blight is caused by the fungus Exserohilum turcicum.,"Use resistant varieties, rotate crops, and apply fungicides.","Use fungicides such as azoxystrobin, pyraclostrobin, or propiconazole."
Corn___healthy,Healthy corn plants show no signs of disease or pest damage.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Grape___Black_rot,"Black rot is a fungal disease that affects grapevines, causing dark brown spots on leaves and black, shriveled fruit.",Black rot is caused by the fungus Guignardia bidwellii.,"Remove infected plant material, apply fungicides, and ensure proper vineyard sanitation.","Use fungicides such as myclobutanil, trifloxystrobin, or captan."
Grape___Esca_(Black_Measles),"Esca, also known as black measles, is a fungal disease that affects grapevines, causing dark streaks in the wood and black spotting on leaves.",Esca is caused by a complex of fungi including Phaeoacremonium aleophilum and Togninia minima.,"Remove and destroy infected wood, avoid wounding vines, and apply fungicides if necessary.","Use fungicides such as flutriafol, carbendazim, or pyraclostrobin."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Leaf blight, also known as Isariopsis leaf spot, is a fungal disease that affects grapevines, causing brown, angular spots on leaves.",Leaf blight is caused by the fungus Pseudocercospora vitis.,"Use resistant varieties, apply fungicides, and practice good vineyard sanitation.","Use fungicides such as mancozeb, chlorothalonil, or copper hydroxide."
Grape___healthy,Healthy grapevines show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper pruning, watering, and pest control.",
Orange___Haunglongbing_(Citrus_greening),"Huanglongbing (HLB), also known as citrus greening, is a bacterial disease that affects citrus trees, causing yellowing of leaves and misshapen fruit.",HLB is caused by the bacterium Candidatus Liberibacter asiaticus and spread by the Asian citrus psyllid.,"Control psyllid populations, remove infected trees, and use HLB-tolerant rootstocks.",Use antibiotics such as streptomycin or oxytetracycline under regulatory guidelines.
Peach___Bacterial_spot,"Bacterial spot is a disease that affects peach trees, causing dark, water-soaked lesions on leaves and fruit.",Bacterial spot is caused by the bacterium Xanthomonas campestris pv. pruni.,"Use resistant varieties, apply bactericides, and practice good orchard sanitation.",Use bactericides such as copper hydroxide or streptomycin.
"Pepper,_bell___Bacterial_spot","Bacterial spot is a disease that affects bell pepper plants, causing dark, water-soaked lesions on leaves and fruit.",Bacterial spot is caused by the bacterium Xanthomonas campestris pv. vesicatoria.,"Use resistant varieties, apply bactericides, and practice good field sanitation.",Use bactericides such as copper hydroxide or streptomycin.
"Pepper,_bell___healthy",Healthy bell pepper plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Potato___Early_blight,"Early blight is a fungal disease that affects potato plants, causing dark, concentric spots on leaves and tubers.",Early blight is caused by the fungus Alternaria solani.,"Use resistant varieties, apply fungicides, and rotate crops.","Use fungicides such as chlorothalonil, mancozeb, or azoxystrobin."
Potato___Late_blight,"Late blight is a devastating fungal disease that affects potato plants, causing water-soaked lesions on leaves and tubers.",Late blight is caused by the oomycete Phytophthora infestans.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as mancozeb, chlorothalonil, or fluazinam."
Potato___healthy,Healthy potato plants show no signs of disease or pest damage. Leaves are green and tubers develop normally.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Raspberry___healthy,Healthy raspberry plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Soybean___healthy,Healthy soybean plants show no signs of disease or pest damage. Leaves are green and pods develop normally.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Squash___Powdery_mildew,"Powdery mildew is a fungal disease that affects squash plants, covering leaves with a white powdery substance.",Powdery mildew is caused by the fungus Podosphaera xanthii.,"Use resistant varieties, improve air circulation, and apply fungicides as needed.","Use fungicides such as sulfur, neem oil, or potassium bicarbonate."
Strawberry___Leaf_scorch,"Leaf scorch is a fungal disease that affects strawberry plants, causing dark brown spots on leaves that can merge and kill the leaf.",Leaf scorch is caused by the fungus Diplocarpon earlianum.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as captan, myclobutanil, or thiophanate-methyl."
Strawberry___healthy,Healthy strawberry plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Tomato___Bacterial_spot,"Bacterial spot is a serious disease that affects tomato plants, causing dark, water-soaked lesions on leaves, stems, and fruit.",Bacterial spot is caused by several species of the bacterium Xanthomonas.,"Use resistant varieties, apply bactericides, and practice good field sanitation.",Use bactericides such as copper hydroxide or streptomycin.
Tomato___Early_blight,"Early blight is a common fungal disease that affects tomato plants, causing dark, concentric rings on leaves, stems, and fruit.",Early blight is caused by the fungus Alternaria solani.,"Use resistant varieties, apply fungicides, and rotate crops.","Use fungicides such as chlorothalonil, mancozeb, or azoxystrobin."
Tomato___Late_blight,"Late blight is a devastating fungal disease that affects tomato plants, causing large, water-soaked lesions on leaves, stems, and fruit.",Late blight is caused by the oomycete Phytophthora infestans.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as mancozeb, chlorothalonil, or fluazinam."
Tomato___Leaf_Mold,"Leaf mold is a fungal disease that affects tomato plants, causing yellow spots on the upper leaf surface and a velvety, olive-green mold on the underside.",Leaf mold is caused by the fungus Passalora fulva.,"Improve air circulation, reduce humidity, and apply fungicides.","Use fungicides such as chlorothalonil, mancozeb, or copper fungicides."
Tomato___Septoria_leaf_spot,"Septoria leaf spot is a fungal disease that affects tomato plants, causing small, circular, gray spots with dark borders on leaves.",Septoria leaf spot is caused by the fungus Septoria lycopersici.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as chlorothalonil, mancozeb, or copper fungicides."
Tomato___Spider_mites Two-spotted_spider_mite,"Two-spotted spider mite infestations cause stippling and bronzing on tomato leaves, leading to leaf drop and reduced yields.",Two-spotted spider mites are caused by the mite Tetranychus urticae.,"Use miticides, encourage natural predators, and practice good field sanitation.","Use miticides such as abamectin, bifenazate, or spiromesifen."
Tomato___Target_Spot,"Target spot is a fungal disease that affects tomato plants, causing concentric rings and dark lesions on leaves, stems, and fruit.",Target spot is caused by the fungus Corynespora cassiicola.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as chlorothalonil, mancozeb, or azoxystrobin."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Tomato yellow leaf curl virus (TYLCV) is a viral disease that affects tomato plants, causing yellowing and curling of leaves and stunted growth.",TYLCV is transmitted by the whitefly Bemisia tabaci.,"Use resistant varieties, control whitefly populations, and use reflective mulches.","Use insecticides such as imidacloprid, spinosad, or neem oil."
Tomato___Tomato_mosaic_virus,"Tomato mosaic virus (ToMV) is a viral disease that affects tomato plants, causing mottling, yellowing, and distortion of leaves and fruit.",ToMV is caused by the tomato mosaic virus.,"Use resistant varieties, practice good sanitation, and control insect vectors.","Use insecticides such as imidacloprid, spinosad, or neem oil."
Tomato___healthy,Healthy tomato plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Peach___healthy,Healthy peach trees show no signs of disease or pest damage. Leaves are green and fruit develops normally.,N/A,"Regular care and maintenance including proper pruning, watering, and pest control.",N/A
